word_id,synset_id,NoYES,NoTOTAL,acc_rate
32954,n#09886750,0,5,0.0000
33076,v#00435242,0,5,0.0000
33076,v#00482292,0,5,0.0000
33076,v#00641064,0,5,0.0000
33076,v#00641935,0,5,0.0000
33076,v#00642112,0,5,0.0000
33076,v#00643556,0,5,0.0000
33076,v#01806524,0,5,0.0000
33076,v#01868923,0,5,0.0000
33077,v#00435242,0,5,0.0000
33077,v#00482292,0,5,0.0000
33077,v#00641064,0,5,0.0000
33077,v#00641935,0,5,0.0000
33077,v#00642112,0,5,0.0000
33077,v#00643556,0,5,0.0000
33077,v#01806524,0,5,0.0000
33077,v#01868923,0,5,0.0000
33339,r#00277636,0,5,0.0000
33768,n#08572627,0,5,0.0000
33768,n#08573299,0,5,0.0000
33769,n#03654225,0,5,0.0000
33769,n#03928353,0,5,0.0000
33769,n#03928898,0,5,0.0000
33769,n#03932475,0,5,0.0000
33770,n#04188555,0,5,0.0000
33770,n#04545575,0,5,0.0000
33770,n#04546812,0,5,0.0000
33777,a#01964598,0,5,0.0000
33777,a#02151388,0,5,0.0000
34010,a#00045472,0,5,0.0000
34010,a#00613933,0,5,0.0000
34010,a#00764129,0,5,0.0000
34010,a#01681912,0,5,0.0000
34010,a#01739045,0,5,0.0000
34010,a#01741006,0,5,0.0000
34598,r#00149700,0,5,0.0000
34598,r#00277636,0,5,0.0000
34789,n#00770012,0,5,0.0000
34789,n#03811208,0,5,0.0000
34789,n#04492484,0,5,0.0000
34789,n#04546018,0,5,0.0000
34789,n#04564824,0,5,0.0000
34789,n#04588033,0,5,0.0000
34789,n#04951584,0,5,0.0000
34789,n#05079660,0,5,0.0000
34789,n#10843624,0,5,0.0000
34789,n#10869183,0,5,0.0000
34789,n#10954173,0,5,0.0000
34789,n#10982844,0,5,0.0000
34789,n#10988653,0,5,0.0000
34957,v#00766532,0,5,0.0000
34957,v#00766986,0,5,0.0000
34957,v#00805632,0,5,0.0000
34957,v#01522764,0,5,0.0000
34957,v#01558731,0,5,0.0000
34957,v#01559048,0,5,0.0000
34957,v#01673681,0,5,0.0000
